City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
194,Kudahuvadhoo,MV,2.6708,72.8944,83.95,71,96,21.03,overcast clouds
195,Pechenga,RU,69.5259,31.1703,40.06,93,77,10.71,broken clouds
196,Ayagoz,KZ,47.9714,80.4392,47.07,60,0,9.75,clear sky
197,Aden,YE,12.7794,45.0367,91.2,50,46,2.53,scattered clouds
198,Barrow,US,71.2906,-156.7887,28.42,86,90,11.5,overcast clouds
199,Porto Walter,BR,-8.2686,-72.7439,83.64,62,25,2.75,scattered clouds
200,Kamenka,RU,51.3223,42.7678,60.22,93,75,5.28,broken clouds
201,Nantucket,US,41.2835,-70.0995,48.96,89,90,18.41,overcast clouds
202,Pak Chong,TH,14.708,101.4161,74.23,93,57,3.11,broken clouds
203,Vermilion,US,40.1667,-87.7506,65.26,42,1,5.01,clear sky
204,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,10.36,overcast clouds
205,Quelimane,MZ,-17.8786,36.8883,71.55,83,0,4.61,clear sky
206,Chokurdakh,RU,70.6333,147.9167,56.26,37,6,13.42,clear sky
207,Coihaique,CL,-45.5752,-72.0662,42.75,70,75,0.0,broken clouds
208,Gasa,PS,31.5,34.4667,72.91,78,0,1.32,clear sky
209,Chicomuselo,MX,15.7667,-92.2667,87.22,50,100,4.54,overcast clouds
210,Norman Wells,CA,65.282,-126.8329,39.24,75,75,11.5,light rain
211,Nouadhibou,MR,20.931,-17.0347,66.18,88,0,20.71,clear sky
212,Suntar,RU,62.1444,117.6319,58.93,56,19,5.57,few clouds
213,Svetlyy,RU,54.675,20.1347,48.25,80,43,9.82,scattered clouds
214,Panama City,PA,8.9936,-79.5197,80.06,91,40,4.61,scattered clouds
215,Bow Island,CA,49.8668,-111.3684,66.99,31,85,6.91,overcast clouds
216,Nurma,RU,59.55,31.0167,46.45,80,1,4.83,clear sky
217,Papara,BR,-3.9839,-38.7273,82.72,91,14,3.27,few clouds
218,Kodiak,US,57.79,-152.4072,47.71,87,90,9.22,moderate rain
219,Tando Adam,PK,25.7637,68.661,86.05,57,23,17.13,few clouds
220,Tazovskiy,RU,67.4667,78.7,39.99,64,99,19.39,light rain
221,Mirnyy,RU,62.5353,113.9611,52.05,85,82,7.9,broken clouds
222,Sibu,MY,2.3,111.8167,73.71,100,40,1.99,scattered clouds
223,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,85,52,6.11,broken clouds
224,Thompson,CA,55.7435,-97.8558,53.76,76,90,11.5,overcast clouds
225,Areosa,PT,41.7178,-8.8571,67.32,85,59,8.68,broken clouds
226,Havoysund,NO,70.9963,24.6622,41.88,89,100,26.24,overcast clouds
227,Istria,RO,44.5667,28.7167,64.81,68,51,3.89,broken clouds
228,Narsaq,GL,60.9167,-46.05,44.82,85,100,4.94,overcast clouds
229,Saint George,US,37.1041,-113.5841,95.47,10,1,1.99,clear sky
230,Sorland,NO,67.667,12.6934,44.02,76,100,7.81,overcast clouds
231,Tuatapere,NZ,-46.1333,167.6833,49.82,92,100,8.93,light rain
232,Olga,RU,43.7444,135.2892,46.35,99,100,2.08,light rain
233,Madisonville,US,37.3281,-87.4989,57.92,77,100,5.99,overcast clouds
234,Goderich,CA,43.7501,-81.7165,61.21,47,9,18.41,clear sky
235,Lavrentiya,RU,65.5833,-171.0,33.71,82,6,7.65,clear sky
236,Tautira,PF,-17.7333,-149.15,84.22,72,100,13.78,overcast clouds
237,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,6.91,broken clouds
238,Upernavik,GL,72.7868,-56.1549,31.41,93,100,16.69,overcast clouds
239,Fairbanks,US,64.8378,-147.7164,53.1,42,40,13.8,scattered clouds
240,Sakakah,SA,29.9697,40.2064,89.17,16,5,5.21,clear sky
241,Puerto Maldonado,PE,-12.6,-69.1833,82.13,62,65,1.28,broken clouds
242,Tawang,IN,27.5833,91.8667,52.75,96,95,1.19,overcast clouds
243,Busayra,JO,30.7376,35.6078,61.54,56,0,3.8,clear sky
244,Nanortalik,GL,60.1432,-45.2371,36.82,87,100,5.99,overcast clouds
245,Severo-Kurilsk,RU,50.6789,156.125,41.43,89,100,9.42,overcast clouds
246,Liusha,CN,27.2098,108.59,59.13,96,91,2.93,overcast clouds
247,Lata,PT,40.1629,-8.3327,63.05,97,2,1.99,clear sky
248,Devrek,TR,41.2192,31.9558,60.53,96,100,3.76,overcast clouds
249,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
250,North Bend,US,43.4065,-124.2243,78.94,68,1,14.97,clear sky
251,Shakawe,BW,-18.3667,21.85,54.77,31,0,3.44,clear sky
252,Krutinka,RU,56.0055,71.5113,56.48,56,4,10.33,clear sky
253,Khilok,RU,51.3674,110.4676,38.64,61,51,3.51,broken clouds
254,Barcelona,ES,41.3888,2.159,76.33,50,0,1.01,clear sky
255,Wilmington,US,34.2257,-77.9447,79.93,76,97,1.01,overcast clouds
256,Herat,AF,34.5,62.0,77.25,20,0,12.24,clear sky
257,Kenora,CA,49.8167,-94.4337,63.79,43,75,13.8,broken clouds
258,Betsiamites,CA,48.9413,-68.646,53.69,54,5,3.22,clear sky
259,Skerries,IE,53.5828,-6.1083,55.0,87,44,4.97,scattered clouds
260,Cherusti,RU,55.5498,40.0107,50.41,96,100,12.17,light rain
261,Cedar City,US,37.6775,-113.0619,79.39,10,1,3.44,clear sky
262,Puerto Concordia,CO,2.6221,-72.7572,78.58,93,92,2.82,overcast clouds
263,Piranshahr,IR,36.701,45.1413,59.9,32,0,6.06,clear sky
264,Hobyo,SO,5.3505,48.5268,78.58,82,85,21.09,overcast clouds
265,Marawi,PH,7.9986,124.2928,69.66,94,100,1.1,overcast clouds
266,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,7.45,clear sky
267,Kupang,ID,-10.1667,123.5833,73.98,88,20,4.61,few clouds
268,Chingirlau,KZ,51.095,54.0814,63.52,82,49,6.71,scattered clouds
269,Nishihara,JP,26.1842,127.7558,69.46,94,75,17.98,broken clouds
270,Weligama,LK,5.9667,80.4167,79.25,85,70,14.72,broken clouds
271,Mucuri,BR,-18.0864,-39.5508,76.66,84,99,12.55,overcast clouds
272,Chagoda,RU,59.164,35.3285,36.48,75,1,5.35,clear sky
273,Sao Filipe,CV,14.8961,-24.4956,74.53,75,8,15.19,clear sky
274,Beloye,UA,48.4952,39.0505,61.74,93,100,6.17,light rain
275,Pocone,BR,-16.2567,-56.6228,83.64,32,88,4.25,overcast clouds
276,Eureka,US,40.8021,-124.1637,77.67,77,29,4.0,scattered clouds
277,Talcahuano,CL,-36.7167,-73.1167,56.88,62,40,9.22,scattered clouds
278,Sinnamary,GF,5.3833,-52.95,78.4,87,80,10.16,broken clouds
279,Craig,US,40.5153,-107.5464,78.75,17,1,6.91,clear sky
280,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,91,0,11.95,clear sky
281,Sri Aman,MY,1.2376,111.4621,73.45,100,91,0.0,overcast clouds
282,Hamilton,US,39.1834,-84.5333,58.39,74,90,3.0,overcast clouds
283,Samarai,PG,-10.6167,150.6667,78.53,78,96,13.65,overcast clouds
284,Hattiesburg,US,31.3271,-89.2903,84.52,52,40,9.22,scattered clouds
